seed;iteracao_validacao_cruzada;indices;previsoes;f1_score;acuracia_balanceada;auc
5;0;[13, 23, 32, 51, 65, 90, 95, 97, 105, 111, 113, 115, 120, 121, 124, 145, 158];['Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Defaults'];0.88;0.7980769230769231;0.798076923076923
5;1;[5, 27, 28, 43, 56, 57, 71, 77, 78, 86, 87, 102, 127, 140, 142, 162, 164];['Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.6086956521739131;0.3942307692307692;0.3942307692307692
5;2;[12, 17, 26, 52, 58, 63, 67, 79, 83, 84, 93, 106, 110, 135, 147, 150, 153];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning'];0.7692307692307693;0.5166666666666667;0.5166666666666667
5;3;[6, 10, 16, 21, 34, 35, 40, 41, 49, 53, 55, 103, 123, 125, 131, 136, 148];['Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.5714285714285714;0.45;0.45000000000000007
5;4;[0, 1, 15, 29, 36, 44, 47, 76, 92, 101, 108, 114, 141, 144, 155, 161, 165];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults'];0.8461538461538461;0.6583333333333333;0.6583333333333332
5;5;[2, 18, 19, 22, 31, 46, 60, 69, 72, 85, 91, 104, 109, 118, 132, 151, 159];['Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning'];0.8;0.8333333333333333;0.8333333333333333
5;6;[8, 9, 20, 30, 54, 68, 75, 119, 126, 129, 133, 134, 143, 146, 149, 154, 167];['Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults'];0.5714285714285714;0.45;0.45000000000000007
5;7;[3, 7, 25, 33, 45, 59, 61, 64, 70, 73, 88, 94, 96, 98, 100, 128, 160];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8;0.6166666666666667;0.6166666666666667
5;8;[14, 24, 48, 66, 74, 80, 81, 82, 99, 107, 130, 138, 152, 156, 157, 163, 168];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults'];0.6086956521739131;0.3916666666666667;0.3916666666666667
5;9;[4, 11, 37, 38, 39, 42, 50, 62, 89, 112, 116, 117, 122, 137, 139, 166];['Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.75;0.5;0.5
7;0;[2, 9, 37, 44, 46, 52, 65, 69, 95, 103, 107, 108, 130, 133, 136, 142, 153];['Defaults', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning'];0.782608695652174;0.7211538461538461;0.7211538461538461
7;1;[19, 22, 29, 31, 33, 49, 55, 78, 80, 100, 121, 129, 140, 151, 159, 164, 166];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning'];0.8148148148148148;0.5480769230769231;0.5480769230769231
7;2;[32, 34, 56, 58, 59, 68, 70, 74, 77, 79, 85, 91, 93, 94, 99, 114, 144];['Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning'];0.42105263157894735;0.3666666666666667;0.36666666666666664
7;3;[11, 17, 21, 25, 26, 30, 40, 43, 53, 110, 118, 125, 134, 137, 141, 145, 168];['Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning'];0.8461538461538461;0.6583333333333333;0.6583333333333332
7;4;[7, 10, 16, 18, 28, 47, 48, 60, 61, 81, 116, 117, 122, 128, 131, 149, 152];['Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults'];0.7272727272727273;0.6333333333333333;0.6333333333333333
7;5;[0, 14, 39, 45, 54, 63, 72, 75, 82, 112, 115, 123, 124, 147, 154, 163, 167];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.782608695652174;0.675;0.675
7;6;[3, 4, 23, 42, 50, 51, 57, 62, 76, 83, 86, 90, 102, 111, 132, 155, 162];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning'];0.782608695652174;0.675;0.675
7;7;[6, 12, 20, 64, 66, 67, 84, 88, 92, 97, 109, 119, 143, 146, 148, 156, 161];['Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Tuning'];0.5714285714285714;0.45;0.45000000000000007
7;8;[1, 5, 8, 13, 24, 41, 89, 101, 104, 105, 113, 126, 127, 135, 139, 158, 160];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning'];0.6923076923076923;0.375;0.375
7;9;[15, 27, 35, 36, 38, 71, 73, 87, 96, 98, 106, 120, 138, 150, 157, 165];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Defaults'];0.7619047619047619;0.7083333333333333;0.7083333333333334
13;0;[8, 10, 34, 46, 51, 70, 75, 92, 103, 105, 106, 113, 126, 128, 131, 137, 160];['Defaults', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning'];0.7272727272727273;0.6826923076923077;0.6826923076923077
13;1;[3, 11, 18, 19, 20, 48, 68, 77, 91, 116, 120, 124, 127, 133, 134, 159, 165];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning'];0.8;0.6346153846153846;0.6346153846153846
13;2;[14, 17, 21, 35, 45, 50, 52, 69, 71, 79, 88, 96, 115, 123, 136, 140, 151];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.8148148148148148;0.5583333333333333;0.5583333333333333
13;3;[27, 32, 41, 47, 49, 80, 85, 90, 101, 104, 108, 111, 121, 147, 154, 157, 167];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.8181818181818182;0.775;0.7750000000000001
13;4;[0, 4, 22, 30, 38, 40, 55, 65, 76, 82, 93, 99, 112, 135, 138, 146, 156];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.7692307692307693;0.5166666666666667;0.5166666666666667
13;5;[5, 15, 16, 25, 28, 33, 39, 43, 56, 64, 67, 73, 98, 107, 141, 150, 153];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults'];0.782608695652174;0.675;0.675
13;6;[7, 9, 13, 37, 62, 84, 86, 87, 100, 102, 119, 139, 143, 148, 164, 166, 168];['Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning'];0.8695652173913043;0.8166666666666667;0.8166666666666668
13;7;[1, 2, 29, 31, 42, 44, 58, 61, 63, 72, 74, 95, 109, 110, 118, 122, 130];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.8;0.6166666666666667;0.6166666666666667
13;8;[24, 26, 36, 54, 57, 78, 81, 83, 97, 129, 145, 149, 152, 155, 158, 162, 163];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Tuning'];0.7;0.6916666666666667;0.6916666666666668
13;9;[6, 12, 23, 53, 59, 60, 66, 89, 94, 114, 117, 125, 132, 142, 144, 161];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults'];0.88;0.7083333333333333;0.7083333333333333
27;0;[9, 12, 16, 20, 29, 65, 68, 69, 76, 98, 100, 101, 111, 128, 141, 143, 151];['Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.6956521739130435;0.5576923076923077;0.5576923076923077
27;1;[31, 38, 52, 57, 60, 91, 95, 103, 106, 125, 134, 152, 155, 156, 158, 160, 168];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning'];0.72;0.47115384615384615;0.47115384615384615
27;2;[15, 19, 37, 47, 54, 59, 81, 84, 86, 88, 96, 99, 116, 132, 140, 159, 165];['Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8461538461538461;0.6583333333333333;0.6583333333333332
27;3;[7, 13, 14, 32, 36, 42, 50, 58, 67, 78, 97, 113, 121, 142, 145, 147, 157];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults'];0.8888888888888888;0.7;0.7
27;4;[24, 25, 30, 79, 83, 85, 94, 104, 117, 118, 119, 120, 130, 138, 161, 164, 167];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning'];0.72;0.475;0.475
27;5;[6, 18, 22, 23, 33, 41, 46, 66, 74, 82, 90, 115, 122, 139, 149, 150, 166];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning'];0.75;0.575;0.575
27;6;[5, 8, 40, 43, 45, 64, 70, 72, 73, 102, 129, 131, 133, 135, 136, 144, 154];['Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults'];0.7619047619047619;0.7333333333333334;0.7333333333333333
27;7;[0, 17, 55, 56, 61, 63, 71, 75, 92, 105, 107, 112, 124, 126, 127, 146, 148];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning'];0.8;0.6166666666666667;0.6166666666666667
27;8;[11, 21, 26, 27, 28, 35, 48, 51, 53, 62, 77, 80, 87, 93, 110, 114, 123];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8148148148148148;0.5583333333333333;0.5583333333333333
27;9;[1, 2, 3, 4, 10, 34, 39, 44, 49, 89, 108, 109, 137, 153, 162, 163];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.9166666666666666;0.8333333333333333;0.8333333333333334
35;0;[15, 18, 21, 33, 40, 45, 49, 50, 54, 55, 77, 89, 116, 119, 129, 132, 152];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults'];0.8148148148148148;0.5480769230769231;0.5480769230769231
35;1;[4, 6, 9, 10, 12, 26, 75, 78, 84, 97, 104, 108, 131, 133, 140, 155, 167];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning'];0.8333333333333334;0.7596153846153846;0.7596153846153846
35;2;[5, 7, 17, 41, 52, 59, 67, 68, 70, 80, 88, 98, 110, 112, 126, 163, 164];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning'];0.8333333333333334;0.7166666666666667;0.7166666666666668
35;3;[13, 22, 27, 43, 47, 48, 60, 65, 72, 74, 101, 111, 123, 128, 142, 160, 161];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults'];0.8;0.6166666666666667;0.6166666666666667
35;4;[11, 25, 61, 62, 63, 64, 66, 76, 85, 91, 102, 118, 127, 134, 146, 150, 165];['Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning'];0.5714285714285714;0.45;0.45000000000000007
35;5;[20, 24, 32, 35, 79, 83, 87, 99, 115, 122, 125, 147, 148, 154, 158, 159, 168];['Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning'];0.88;0.7583333333333333;0.7583333333333333
35;6;[1, 8, 16, 19, 28, 34, 46, 57, 86, 93, 94, 95, 105, 114, 117, 136, 157];['Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults'];0.782608695652174;0.675;0.675
35;7;[14, 23, 36, 38, 53, 69, 73, 81, 92, 103, 106, 120, 124, 130, 141, 143, 153];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults'];0.9166666666666666;0.8583333333333334;0.8583333333333333
35;8;[0, 2, 29, 31, 42, 51, 56, 58, 71, 82, 96, 109, 121, 135, 139, 156, 166];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning'];0.8461538461538461;0.6583333333333333;0.6583333333333332
35;9;[3, 30, 37, 39, 44, 90, 100, 107, 113, 137, 138, 144, 145, 149, 151, 162];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults'];0.8;0.5416666666666667;0.5416666666666667
42;0;[5, 11, 17, 22, 26, 41, 52, 60, 65, 77, 94, 98, 103, 118, 120, 137, 141];['Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults'];0.8148148148148148;0.5480769230769231;0.5480769230769231
42;1;[0, 16, 31, 42, 44, 55, 68, 89, 95, 99, 109, 139, 142, 155, 158, 160, 165];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults'];0.8148148148148148;0.5480769230769231;0.5480769230769231
42;2;[12, 27, 37, 38, 48, 54, 57, 67, 70, 74, 75, 87, 128, 133, 134, 154, 157];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults'];0.7;0.6916666666666667;0.6916666666666668
42;3;[1, 2, 3, 6, 28, 34, 39, 63, 64, 66, 78, 97, 100, 101, 111, 117, 121];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8333333333333334;0.7166666666666667;0.7166666666666668
42;4;[13, 14, 21, 24, 53, 76, 107, 108, 113, 119, 124, 126, 130, 138, 148, 159, 167];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning'];0.8;0.6166666666666667;0.6166666666666667
42;5;[9, 29, 43, 50, 51, 56, 61, 62, 69, 73, 79, 84, 125, 131, 144, 161, 162];['Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.72;0.475;0.475
42;6;[23, 47, 49, 72, 80, 83, 85, 88, 93, 96, 104, 110, 115, 127, 149, 150, 152];['Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults'];0.6956521739130435;0.5333333333333333;0.5333333333333333
42;7;[4, 8, 19, 33, 36, 46, 90, 102, 106, 116, 122, 135, 140, 146, 151, 153, 166];['Tuning', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Defaults', 'Defaults', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.6666666666666666;0.5916666666666667;0.5916666666666667
42;8;[7, 10, 20, 30, 32, 35, 40, 86, 91, 105, 132, 136, 143, 145, 163, 164, 168];['Tuning', 'Tuning', 'Defaults', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning'];0.8;0.6166666666666667;0.6166666666666667
42;9;[15, 18, 25, 45, 58, 59, 71, 81, 82, 92, 112, 114, 123, 129, 147, 156];['Tuning', 'Defaults', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning', 'Tuning'];0.8888888888888888;0.625;0.625
