avail.datasets,simple.classes,simple.attributes,simple.numeric,simple.nominal,simple.samples,simple.dimensionality,simple.numeric_rate,simple.nominal_rate,simple.symbols_min,simple.symbols_max,simple.symbols_mean,simple.symbols_sd,simple.symbols_sum,simple.class_prob_min,simple.class_prob_max,simple.class_prob_mean,simple.class_prob_sd,statistical.skewness,statistical.skewness_prep,statistical.kurtosis,statistical.kurtosis_prep,statistical.abs_cor,statistical.cancor_1,statistical.fract_1,inftheo.class_entropy,inftheo.normalized_class_entropy,inftheo.attribute_entropy,inftheo.normalized_attribute_entropy,inftheo.joint_entropy,inftheo.mutual_information,inftheo.equivalent_attributes,inftheo.noise_signal_ratio,modelbased.nodes,modelbased.leaves,modelbased.nodes_per_attribute,modelbased.nodes_per_instance,modelbased.leaf_corrobation,modelbased.level_min,modelbased.level_max,modelbased.level_mean,modelbased.level_sd,modelbased.branch_min,modelbased.branch_max,modelbased.branch_mean,modelbased.branch_sd,modelbased.attribute_min,modelbased.attribute_max,modelbased.attribute_mean,modelbased.attribute_sd,landmarking.naive_bayes,landmarking.stump_min,landmarking.stump_max,landmarking.stump_mean,landmarking.stump_sd,landmarking.stump_min_gain,landmarking.stump_random,landmarking.nn_1,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,t2,edges,degree,density,maxComp,closeness,betweenness,clsCoef,hubs,avgPath,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_fun_evals,ela_meta.costs_runtime,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_fun_evals,ela_distr.costs_runtime,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_level.costs_fun_evals,ela_level.costs_runtime,Class
1065_kc3,2,39,39,0,458,0.085153,1.0,0.0,2,2,2.0,0.0,2,0.093886,0.906114,0.5,0.574331,2.587199,2.587199,14.705653,14.705653,0.564353,0.537445,1.0,0.311439,0.449311,0.73937,0.242853,0.311439,0.030952,10.062047,22.887771,6,7,0.153846,0.0131,0.142857,2,4,3.0,1.154701,3,5,4.0,0.816497,0,1,0.153846,0.365518,0.847162,0.906114,0.91048,0.906449,0.001067,0.906114,0.906114,0.884279,0.708,8.929,1.3e-05,0.286,0.644,0.19,0.094,0.5,0.19,0.413,0.118,0.332,0.998,11.744,17213,75.165939,0.164477,415,4.3e-05,545.331878,0.303781,0.787374,3.894442,0.304977930771789,0.511712960270738,0.0013565038304466,0.0014745129996514,1.08699508733852,0.48723299115997,0.328310708091662,10.3584539227379,0.628090521628368,0,0.0500000000010914,,,,,,0.0586,0.0586,0.0568,1.0,1.03169014084507,1.03169014084507,0.161866666666667,0.159433333333333,0.151033333333333,1.01526238762283,1.07172809534319,1.05561686161995,0.161866666666667,0.159433333333333,0.148566666666667,1.01526238762283,1.08952210006731,1.07314336997981,0,475.909999999996,Tuning
1066_kc1-binary,2,86,86,0,145,0.593103,1.0,0.0,2,2,2.0,0.0,2,0.413793,0.586207,0.5,0.121915,2.319703,2.319703,10.788349,10.788349,0.421319,0.910263,1.0,0.678209,0.978449,0.735869,0.296136,0.678209,0.055605,12.19701,12.233972,4,5,0.046512,0.027586,0.2,2,2,2.0,0.0,2,5,3.8,1.30384,0,1,0.046512,0.211825,0.682759,0.586207,0.772414,0.693504,0.069455,0.586207,0.744828,0.717241,0.917,11.311,0.0,0.359,1.0,0.644,0.262,0.203,0.421,0.78,0.283,0.224,1.0,1.686,1437,19.82069,0.137644,85,9.8e-05,76.082759,0.236058,0.760179,3.367507,0.456976970865816,0.545473797522406,0.0041618229782317,0.005233532962918,1.25750974760144,0.648521646344822,0.46628072053826,2.40848991131626,0.750478509904415,0,0.0500000000010914,1.51860487820511,0.616824252456007,135.0,0.0,0.0,0.0368333333333333,0.0368333333333333,0.0368333333333333,1.0,1.0,1.0,0.0368333333333333,0.0368333333333333,0.0368333333333333,1.0,1.0,1.0,0.0368333333333333,0.0368333333333333,0.0368333333333333,1.0,1.0,1.0,0,485.980000000003,Defaults
1067_kc1,2,21,21,0,2109,0.009957,1.0,0.0,2,2,2.0,0.0,2,0.154576,0.845424,0.5,0.488504,3.796243,3.796243,34.634973,34.634973,0.707575,0.467723,1.0,0.430565,0.621173,0.747348,0.195199,0.430565,0.04141,10.397722,17.047733,7,8,0.333333,0.003319,0.125,2,6,3.5,1.914854,2,5,4.5,1.069045,0,1,0.333333,0.483046,0.825036,0.845424,0.845424,0.845424,0.0,0.845424,0.845424,0.84495,0.533,3.934,0.001,0.009,0.042,0.31,0.155,0.5,0.366,0.679,0.261,0.414,0.986,100.429,362224,343.503082,0.162952,1783,1e-06,1771.630631,0.274453,0.734393,3.295469,0.369635853142044,0.515883272829297,0.0015266171422305,0.001709473599616,1.11977885766325,0.530826992758278,0.422012798909903,3.36798527231949,0.743062465734596,0,0.0399999999990541,1.59655416214874,1.36420839358612,86.0,0.0,0.0,0.106333333333333,0.0691,0.0740333333333333,1.53883260974433,1.43628995947771,0.933363349842413,0.0693666666666667,0.0372,0.0298,1.86469534050179,2.32774049217002,1.24832214765101,0.0693666666666667,0.0372,0.0289,1.86469534050179,2.4002306805075,1.28719723183391,0,208.25,Tuning
1068_pc1,2,21,21,0,1109,0.018936,1.0,0.0,2,2,2.0,0.0,2,0.069432,0.930568,0.5,0.608915,5.560927,5.560927,69.03357,69.03357,0.667721,0.386223,1.0,0.252167,0.3638,0.363026,0.103825,0.252167,0.013649,18.475103,25.597212,5,6,0.238095,0.004509,0.166667,2,4,2.5,1.0,3,5,3.833333,0.983192,0,1,0.238095,0.436436,0.889991,0.930568,0.935978,0.930955,0.001293,0.930568,0.930568,0.920649,0.248,5.838,4e-06,0.053,0.237,0.14,0.069,0.5,0.138,0.517,0.087,0.387,0.993,52.81,101391,182.851217,0.165028,1032,1e-05,1433.893598,0.318676,0.773848,3.981515,0.367669501798556,0.512577978284887,0.0006320302277466,0.001515510189182,2.39784447428294,0.441315320590157,0.485363627442085,1.62484772890828,0.691797933614554,0,0.0300000000006548,1.91990354182556,3.00852227556372,99.0,0.0,0.0100000000020373,0.0764333333333333,0.0691,0.0596666666666667,1.10612638687892,1.28100558659218,1.15810055865922,0.0838666666666667,0.0749333333333333,0.0659333333333333,1.11921708185053,1.27199191102123,1.13650151668352,0.0839,0.0749333333333333,0.0659333333333333,1.11966192170819,1.27249747219414,1.13650151668352,0,205.419999999998,Tuning
1069_pc2,2,36,36,0,5589,0.006441,1.0,0.0,2,2,2.0,0.0,2,0.004115,0.995885,0.5,0.701287,10.228512,10.228512,377.406224,377.406224,0.511614,0.341067,1.0,0.026712,0.038537,0.401288,0.092945,0.026712,0.002956,9.036328,134.750946,0,1,0.0,0.0,1.0,0,1,0.5,0.707107,1,1,1.0,0.0,0,0,0.0,0.0,0.972088,0.995885,0.995885,0.995885,0.0,0.995885,0.995885,0.992127,1.066,18.799,0.0,0.336,0.618,0.009,0.004,0.5,0.011,0.057,0.008,0.424,0.988,155.25,3043051,1088.942924,0.194872,5566,7e-06,5526.462158,0.325794,0.777504,2.994354,0.0801289186189955,0.501501391599298,0.0001743029131429,0.0002174923770025,1.24778394738707,0.130118350030357,0.101902692574034,3.34423495650538,0.220568595515458,0,0.0300000000006548,5.27473337318936,34.2544113089745,97.0,0.0,0.0,0.0809333333333333,0.0606333333333333,0.0441,1.33479934029687,1.83522297808012,1.37490551776266,0.204133333333333,0.201633333333333,0.141966666666667,1.01239874359398,1.4378962197699,1.42028645221883,0.181533333333333,0.176166666666667,0.1651,1.03046357615894,1.09953563496871,1.06703008277811,0,433.279999999999,Tuning
1071_mw1,2,37,37,0,403,0.091811,1.0,0.0,2,2,2.0,0.0,2,0.076923,0.923077,0.5,0.598321,1.991251,1.991251,11.087073,11.087073,0.480686,0.510496,1.0,0.271189,0.391244,0.930843,0.310723,0.271189,0.027158,9.985627,33.275129,2,3,0.054054,0.004963,0.333333,2,2,2.0,0.0,2,3,2.666667,0.57735,0,1,0.054054,0.229243,0.833747,0.923077,0.92804,0.923278,0.000902,0.923077,0.925558,0.873449,0.658,7.521,3e-06,0.362,0.851,0.156,0.077,0.5,0.181,0.582,0.136,0.357,1.0,10.892,12813,63.588089,0.158179,372,6.6e-05,528.253102,0.251653,0.772783,4.068936,0.266096312204604,0.511584518223413,0.0014411143957303,0.0014516870592489,1.00733644986814,0.43245392392077,0.287040756581527,6.9491725496146,0.567471731873041,0,0.0400000000008731,2.8420045656402,7.47196894746886,145.0,0.0,0.0,0.0909333333333333,0.0909333333333333,0.0898333333333333,1.0,1.01224489795918,1.01224489795918,0.1284,0.0993,0.0863,1.29305135951662,1.48783314020857,1.15063731170336,0.115933333333333,0.077,0.0580333333333333,1.50562770562771,1.99770246984492,1.3268236645606,0,320.970000000001,Tuning
1073_jEdit_4.0_4.2,2,8,8,0,274,0.029197,1.0,0.0,2,2,2.0,0.0,2,0.489051,0.510949,0.5,0.015484,4.213328,4.213328,33.820364,33.820364,0.306971,0.52327,1.0,0.692907,0.999654,0.655495,0.231361,0.692907,0.039057,17.740802,15.78291,5,6,0.625,0.018248,0.166667,2,2,2.0,0.0,2,6,4.333333,1.632993,0,2,0.625,0.744024,0.69708,0.543796,0.740876,0.648266,0.059999,0.543796,0.609489,0.664234,0.298,14.17,0.051,0.018,0.066,0.795,0.358,0.359,0.504,0.794,0.336,0.305,1.0,34.25,4551,33.218978,0.121681,140,2.6e-05,132.839416,0.201067,0.770793,3.004008,0.461634443984589,0.594140628584776,0.00314253059123,0.007020984212331,2.23418165981417,0.532102112915865,0.662853568809941,9.91251529876358,0.826840288939632,0,0.0500000000010914,0.372843237206364,-1.56236753781208,34.0,0.0,0.0,0.0392,0.0392,0.0392,1.0,1.0,1.0,0.0392,0.0392,0.0392,1.0,1.0,1.0,0.231566666666667,0.140166666666667,0.101566666666667,1.65208085612366,2.27994748933377,1.38004594683295,0,187.849999999999,Defaults
1075_datatrieve,2,8,8,0,130,0.061538,1.0,0.0,2,2,2.0,0.0,2,0.084615,0.915385,0.5,0.587443,1.330007,1.330007,5.277147,5.277147,0.618744,0.421726,1.0,0.289899,0.418237,0.957921,0.399484,0.289899,0.034667,8.362505,26.632409,1,2,0.125,0.007692,0.5,2,2,2.0,0.0,2,2,2.0,0.0,0,1,0.125,0.353553,0.846154,0.915385,0.923077,0.916346,0.00272,0.915385,0.923077,0.892308,0.733,8.533,0.125,0.208,0.9,0.17,0.085,0.5,0.177,0.209,0.108,0.346,0.923,16.25,1255,19.307692,0.149672,119,0.000481,174.492308,0.289092,0.749117,4.230736,0.103902625146866,0.508075784268374,0.0006119550119636,0.001075837615054,1.7580338325882,0.14072026251287,0.139199032097312,1.0793204565789,0.269138589309804,0,0.0299999999988358,,,,,,0.0775,0.0775,0.0759666666666667,1.0,1.02018429135586,1.02018429135586,0.1015,0.1154,0.103666666666667,0.879549393414211,0.979099678456592,1.11318327974277,0.1015,0.1154,0.103733333333333,0.879549393414211,0.978470437017995,1.11246786632391,0,187.940000000002,Tuning
1100_PopularKids,3,10,6,4,478,0.020921,0.6,0.4,2,9,3.8,2.949576,19,0.188285,0.516736,0.333333,0.167551,0.44569,1.678991,2.202891,6.239706,0.248379,0.328771,0.524743,1.015684,0.924516,1.17905,0.581071,1.426036,0.02075,48.948155,55.821113,8,9,0.8,0.016736,0.111111,2,6,3.2,1.788854,2,6,4.777778,1.20185,0,3,0.8,1.032796,0.543933,0.516736,0.516736,0.516736,0.0,0.516736,0.516736,0.560669,0.084,0.315,1.917,0.013,0.013,0.638667,0.316333,0.474333,0.773,1.404,0.658,0.526,0.995,39.2,9261,38.748954,0.081235,247,7e-06,113.774059,0.16743,0.600961,2.262664,0.340900017553937,0.328542723771546,0.0004234824245639,0.002136514819875,5.04510859470666,0.599648076190931,0.341963929221713,1.72180574275309,0.676705616474939,0,0.0600000000013097,0.320625765560964,0.246930050949758,52.0,0.0,0.0,0.102533333333333,0.118966666666667,0.104066666666667,0.86186606892687,0.985265855221012,1.14317745035234,0.0883666666666667,0.0430666666666667,0.0251666666666667,2.05185758513932,3.5112582781457,1.7112582781457,0.102933333333333,0.0631666666666667,0.0403666666666667,1.62955145118734,2.54995871180842,1.56482246077622,0,184.830000000002,Defaults
1115_teachingAssistant,3,6,2,4,151,0.039735,0.333333,0.666667,2,26,11.6,12.700394,58,0.324503,0.344371,0.333333,0.010116,0.285015,4.177003,2.076022,22.366793,0.489219,0.767461,0.517663,1.098306,0.999721,1.588005,0.710919,2.070442,0.133606,8.220498,10.88575,9,10,1.5,0.059603,0.1,2,6,3.6,1.67332,2,6,5.0,1.247219,0,3,1.5,1.378405,0.701987,0.377483,0.503311,0.43819,0.052717,0.410596,0.423841,0.609272,8.251,0.662333,1.285,0.338,0.563,0.657,0.333333,0.5,0.629,0.735,0.371,0.45,0.914,25.167,725,9.602649,0.064018,28,5e-05,8.119205,0.089136,0.793922,2.547619,0.465904553000592,0.396854886103934,0.0044279538992622,0.0057014182949217,1.28759657951082,0.597667440837986,0.506372436432877,23.5471403416069,0.742703623442996,0,0.0300000000006548,1.0812515422477,-0.473013314772278,42.0,0.0,0.0,0.0186,0.0186,0.0186,1.0,1.0,1.0,0.0186,0.0186,0.0186,1.0,1.0,1.0,0.0186,0.0186,0.0186,1.0,1.0,1.0,0,185.849999999999,Tuning
